Preis,Wohnfläche,Zimmer,Bezirk,Ausstattungsgrad_gruppe,Beschreibung,Adresse,Preis pro qm in euro,Preis_pro_qm_angepasst,Fairness_Label
3921.0,99.0,3.0,Tempelhof-Schöneberg,0,"Ruheoase mitten in der Stadt! Bezugsfertige, traumhafte Gartenwohnung in Schöneberg. Provisionsfrei!

Lebendig. Geschäftig. Zentral. So kennt man die Martin-Luther-Straße in Berlin Schöneberg. Doch gegenüber des Amtsgerichtes entstand ein neuer architektonischer Ruhepol: das CASON Ensemble. Mit seinem eindrucksvollen siebengeschossigen Eckhaus und etwas versteckt liegendem sechsgeschossigen Gartenhaus wird es seinem Namen gerecht. Denn das spanische Wort ""cason"" bedeutet ""großes Haus"", inAbgrenzung zur kleineren casa.Trotz seiner Größe hält sich das CASON Gartenhaus vornehm zurück. Es erhebt sich inmitten des liebevoll begrünten Innenhofs hinter den straßenseitigen Bauten. Seine ausgewogenen Proportionen bestärken den Eindruck der souveränen Ruhe. Was auf den ersten Blick nicht sichtbar ist: die raffinierten, zeitgenössischen Details seiner 5 Eigentumswohnungen.Und das exklusive Wohngefühl, das entsteht, wenn jedem Domizil ein eigenes Geschoss gewidmet wird. So wie im CASON Gartenhaus. Vom Erd- bis zum 3. Obergeschoss eröffnen repräsentative 3-Zimmer-Wohnungen anspruchsvollen Singles, Paaren und kleinen Familien gesuchte Möglichkeiten mitten in Schöneberg. Gekrönt wird das CASON Gartenhaus von einer großzügigen 5-Zimmer-Maisonettewohnung im 4. Ober- und Dachgeschoss. Selbstverständlich spiegelt sich der hohe architektonische Anspruch des Objekts auch in der erlesenen Ausstattung wieder. Kurz: Das CASON Gartenhaus vereint eine außergewöhnliche Wohnqualität im Herzen des Berliner Westens mit gekonntem Understatement. Weil klassische Werte stets Bestand haben.","Schöneberg,Berlin(10779)",39.60606060606061,44.00673400673401,Zu teuer
1600.0,110.0,4.0,Mitte,0,"TAUSCHWOHNUNG Tolle, große Altbauwohnung in bester Mitte Lage

Es handelt es sich hierbei um ein Tauschangebot. (Anbieter-ID: 345111)Biete eine tolle Altbauwohnung in ruhiger Mitte Lage ab spätestens 1 September zur Miete an.Die Wohnung hat zwei gleich große Schlafzimmer mit jeweils ca 25 Quadratmeter, ein drittes Schlafzimmer oder Arbeitszimmer mit ca 14 Quadratmetern und Ausgang zum tollen Südbalkon.Es gibt ein großes modernes Badezimmer mit Marmorboden, großer Badewanne,Bidet als auch eine kleine, separate Gäste-Toilette. Für die Waschmaschine gibt es eine kleine Kammer.Herzstück der Wohnung ist das tolle große Wohnzimmer mit Küchenzeile.Parkplätze gibt es vor der Tür, direkt nebenan ist eine grundschule die gerade ein Haus anbaut, der Bau soll im Dezember 2025 fertiggestellt sein.Wir ziehen nach einer Trennung aus und ich würde gerne gegen eine 2-Zimmerwohnung, optimalerweise mit Balkon, tauschen.","Moabit,Berlin(10115)",14.545454545454545,16.16161616161616,Fair
440.0,50.0,1.0,Tempelhof-Schöneberg,1,"TAUSCHWOHNUNG Saniert Altbau sberg gegen NK|SB|KK|KB

Es handelt es sich hierbei um ein Tauschangebot. (Anbieter-ID: 37765){BIETE}Die Wohnung ist ein Altbau mit 4 Meter hohen Decken.  Es gibt eine Küche mit Ausgang zum Balkon, Badezimmer mit Fenster und Dusche, einen großen nutzbaren Flur und einen Raum, den ich geteilt habe, um einen Schlafbereich zu haben, der vollständig vom Wohnzimmer getrennt ist.  Die Wohnung befindet sich im 3. Stock in einem sehr ruhigen Gebäude.  In der Nachbarschaft (2 Minuten vom Viktoria Louse Platz entfernt) gibt es Cafés, Restaurants, Bars und Supermärkte.{SUCHE} Ich suche eine altbau  Wohnung in neukolln / kreutzkolln / sberg /kberg.  Je größer desto besser.","Schöneberg,Berlin(10779)",8.8,8.8,Günstig
540.0,62.0,2.0,Mitte,0,"Wohnungsswap - Triftstraße

Wir bieten eine schöne Altbauwohnung (2 Zimmer, 62qm,, 2. Etage), ruhig gelegen (Hinterhaus) im schönen Sprengelkiez.Am liebsten würden wir gerne hier im Kiez bleiben oder zumindest in der Nähe, da unsere Kinder hier zur Schule und in die Kita gehen.Falls ihr eine Wohnung zum Tausch, ab 3 Zimmern, habt, freuen wir uns sehr über eure Nachricht.WichtigDiese Wohnung wird derzeit bei Wohnungsswap als Tauschobjekt angeboten, eignet sich also nur für diejenigen, die im Gegenzug eine eigene passende Wohnung für den Tausch haben.Es ist kostenlos, ihr Konto zu registrieren und diese bestimme Wohnung oder Hunderte andere Wohnungen bei uns zu finden.","Wedding,Berlin(13353)",8.709677419354838,9.677419354838708,Günstig
650.0,50.0,2.0,Mitte,0,"Wohnungsswap - Choriner Straße

Helle, schöne, ruhige 2 Z. Wo. Teutoburger Pltz gegen 3-4 ZFür meine wachsenden räumlichen Bedürfnisse und Familie suche ich eine schöne, größere Wohnung zum tauschen.Meine akutelle Wohnung liegt in der besten Lage, ist ruhig, sehr geflecht, und hat Flair. Es ist perfekt für Paren oder Singles.Derzeit wohne ich hier alleine. Das Schlafzimmer habe ich als kleines Büro eingerichtet, und den Hauptraum neben der Küche wird als Wohn-Schlafraum mit Essbereich, Bibliothek und Musikecke genutzt.WichtigDiese Wohnung wird derzeit bei Wohnungsswap als Tauschobjekt angeboten, eignet sich also nur für diejenigen, die im Gegenzug eine eigene passende Wohnung für den Tausch haben.Es ist kostenlos, ihr Konto zu registrieren und diese bestimme Wohnung oder Hunderte andere Wohnungen bei uns zu finden.","Mitte,Berlin(10119)",13.0,14.444444444444445,Fair
1534.0,67.0,2.0,Mitte,1,"Wohnungsswap - Hedwig-Porschütz-Straße

Diese schöne und helle Wohnung in Berlin Mitte liegt direkt am Kanal und im Neubaugebiet Europacity.Sie hat eine Wohnküche mit Balkon in den Innenhof mit Morgensonne und ein Schlafzimmer mit Balkon und Zugang zum Hauptbad. Im Flur befindet sich zudem ein Gästebad. Zu der Wohnung gehört auch ein Kellerabteil.Zum Wohnhaus gibt es zusätzlich einen Garten im Innenhof, einen Fahrradkeller und eine Tiefgarage.WichtigDiese Wohnung wird derzeit bei Wohnungsswap als Tauschobjekt angeboten, eignet sich also nur für diejenigen, die im Gegenzug eine eigene passende Wohnung für den Tausch haben.Es ist kostenlos, ihr Konto zu registrieren und diese bestimme Wohnung oder Hunderte andere Wohnungen bei uns zu finden.","Moabit,Berlin(10557)",22.895522388059703,22.895522388059703,Fair
1999.0,121.4,4.0,Treptow-Köpenick,1,"Spreeduett - große 4 Zimmer mit Parkett, EBK und 2 Bädern im Erstbezug zum 01.09.2025

Am Spreeufer in Berlin Köpenick entsteht ein Neubauquartier in attraktiver Wohnlage mit Wasserbezug.Auf einem ca. 24.300 m2 großen Grundstück werden insgesamt ca. 500 Wohnungen errichtet, aufgeteilt in mehrere Baufelder. In unmittelbarer Nähe befinden sich Kitas und Spielplätze. Die Flächen sind erholsam grün gestaltet, mit einer aufgelockerten Bebauung auf einem parkähnlichen Grundstück. Die Dachflächen aller Tower sind begrünt. Die Architektur orientiert sich mit der Verwendung eines roten Fassadensteins an der Denkmaleigenschaft des innenliegenden Ringbaus.","Wäscherinnenweg 2,Köpenick,Berlin(12555)",16.466227347611202,16.466227347611202,Fair
421.0,50.0,2.0,Neukölln,0,"Wohnungsswap - Sonnenallee

Die Wohnung liegt in der Sonnenallee, befindet sich jedoch in einem ruhigen Hinterhof, man hat also keinen Lärm und insbesondere nachts keinerlei Störungen.Sie hat ein Wohnzimmer, ein Schlafzimmer, eine Küche und ein kleines Bad.Das Schlafzimmer erreicht man durch das Wohnzimmer, die Wohnung ist also gut geeignet für Singles oder Paare, für eine WG ist sie nicht sehr gut geeignet.Zur Miete kommen Nebenkosten und die Kosten für eine Gastherme hinzu.Ich habe die Wohnung vor ca. 1 Jahr streichen lassen, ein paar kleinere Ausbesserungen (Fußleisten) könnte man noch machen.Die Anbindung ist optimal, U7 ist in wenigen Minuten fußläufig, Neukölln Arcaden, Tempelhofer Feld, Landwehrkanal, Einkaufsmöglichkeiten, Bars, es gibt alles direkt um die Ecke. Durch die Lage im Hinterhof kann man hier Stadtleben und Ruhe sehr gut vereinbaren.Ich bewohne die Wohnung momentan alleine und suche nun etwas größeres, um mit meiner Partnerin zusammenzuziehen.Bei Fragen einfach gerne melden.WichtigDiese Wohnung wird derzeit bei Wohnungsswap als Tauschobjekt angeboten, eignet sich also nur für diejenigen, die im Gegenzug eine eigene passende Wohnung für den Tausch haben.Es ist kostenlos, ihr Konto zu registrieren und diese bestimme Wohnung oder Hunderte andere Wohnungen bei uns zu finden.","Neukölln,Berlin(12045)",8.42,9.355555555555556,Günstig
2224.0,79.5,3.0,Friedrichshain-Kreuzberg,1,"Neubau Erstbezug * 3 Zimmer Wohnung im 1.OG * Gäste-WC * Balkon * Einbauküche

PANDION MIDTOWN ist für alle da: für alle Lebensphasen, für alle Familiengrößen, für alle Wohnwünsche - eben einfach für alle Fälle. Größen von 1 bis 4 Zimmern mit ca. 46 m² bis ca. 120 m² freuen sich auf Singles, Paare oder Familien, die in ihnen den Alltag genießen - kochen, essen, schlafen, feiern, spielen. Kurz: die hier glücklich leben wollen.BITTE BEACHTEN SIE FOLGENDES: DIE WOHNUNG WIRD VORAUSSICHTLICH ENDE JUNI 2025 FERTIGGESTELLT UND DIE BESICHTIGUNG ERFOLGT AUF EINER IM BETRIEB BEFINDLICHEN BAUSTELLE.-------------------------------------------------------------------------------------------------------------------------------------------------------------------PLEASE NOTE THE FOLLOWING: THE APARTMENT IS EXPECTED TO BE COMPLETED AT THE END OF JUNE 2025 AND THE VIEWING WILL TAKE PLACE ON A CONSTRUCTION SITE THAT IS CURRENTLY UNDER CONSTRUCTION.","Pufendorfstraße 3A-3E,Friedrichshain,Berlin(10249)",27.9748427672956,27.9748427672956,Zu teuer
499.0,38.0,1.0,Friedrichshain-Kreuzberg,0,"Wohnungsswap - Zellestraße

Hallo hallo!Ich biete meine schöne, sehr helle 38 Quadratmeter Zimmer im Bereich Friedrichshain :) Das Zimmer hat drei große Fenster und eine schöne Küche, sowie eine Badewanne. Es hat REWE, Kaufland, Lidl, Rossmann um die Ecke.6 min zu Fuß zur U-bahn Frankfurtor Tor6 min zu Fuß zur U-bahn S-bahn Stokower Str.WichtigDiese Wohnung wird derzeit bei Wohnungsswap als Tauschobjekt angeboten, eignet sich also nur für diejenigen, die im Gegenzug eine eigene passende Wohnung für den Tausch haben.Es ist kostenlos, ihr Konto zu registrieren und diese bestimme Wohnung oder Hunderte andere Wohnungen bei uns zu finden.","Friedrichshain,Berlin(10247)",13.131578947368421,14.5906432748538,Fair
1500.0,45.0,2.0,Tempelhof-Schöneberg,0,"Möblierte Wohnung nahe Viktoria-Luise-Platz, für den vorübergehenden Wohnbedarf

Die helle 2 Zimmerwohnung ist ruhig und nahe dem Viktoria-Luise-Platz. Der U-Bhf.  ist schnell erreichbar. Es ist eine Inklusivmiete, Strom, Wifi, Heizung sind in der Gesamtmiete enthalten.- das Angebot richtet sich an Interessenten, die die Wohnung für einen vorübergehenden Gebrauch nutzen. Mindestmietzeit sind 3 Monate.- die Wohnung ist möbliertEinrichtung:Küche: Ikea Küche mit Kühlschrank, Ober- und Unterschränken, Ceranherd mit Backofen, komplette Küchenausstattung mit Tellern, Töpfen, Pfannen, Gläsern, Besteck, WaschmaschineWohnzimmer: 1 Schlafsofa, Couchtisch, Esstisch, Stühle, Kommode, FernseherSchlafzimmer: 1 Doppelbett, KleiderschrankBad: Dusche, WC, Ablagemöglichkeiten,","Schöneberg,Berlin(10777)",33.333333333333336,37.03703703703704,Zu teuer
580.0,60.0,2.0,Neukölln,1,"TAUSCHWOHNUNG Helle 2-Zimmer-Wohnung in Neukölln gegen größere Wohnung

Es handelt es sich hierbei um ein Tauschangebot. (Anbieter-ID: 47162)Wir sind eine junge Familie mit Kind und möchten gerne von unserer 2-Zimmer-Wohnung in Neukölln in eine 3- oder 4-Zimmer-Wohnung umziehen.Wir möchten gerne im Kiez oder in der Nähe bleiben aber wir sind flexible.Wir bieten:2 Zimmer im 4. Stock (von 4) mit Balkon, Keller, Dielenboden und Badewanne.Netter Kontakt zur Hausverwaltung und Hausmeister.Wohnzimmer und Küche sind nach Süden zur Hofseite und den Schlafzimmer nach Nord-Ost zur ruhigen Biebricher Str. ausgerichtet.Vom Schlafzimmer gelangt man auf einen kleinen Balkon mit Blick auf die Biebricherstr.Die bodentiefen Fenster in allen Wohnräumen sorgen für viel Licht.In 5min ist man im Hasenheide und mit 15 min im Tempelhofer Feld.Bei Interesse gerne anschreiben.Zu unseren Wünschen gehören z.B. ein Balkon/TerrasseDie Warmmiete sollte 1.200€ nicht übersteigen!Bei Interesse gerne anschreiben.Liebe Grüße,Elisabetta","Neukölln,Berlin(12053)",9.666666666666666,9.666666666666666,Günstig
888.0,55.0,2.0,Pankow,1,"Wohnungsswap - Prenzlauer Allee

Biete eine helle   2-Zimmer-moderne Altbau(Dachgeschoß)-Wohnung zwischen dem herrlichen (Kollwitz/Winskiez) in Prenzlauer Berg zum Tausch gegen eine 4-5 -Zimmer-Wohnung vorzugsweise im selben Kiez an.?BIETE:- 55 qm?- 2 Zimmer- ?1 Bad (Dusche mit Elektrischem Panoramafenster)?- 888 kalt ca. 1.089 warm ?- Altbau (Modern saniert mit sehr hohen Decken)- ?Parkett Boden- ?Offener Küche- ?2 Balkone (groß)- 1 Keller- Aufzug?- es gibt einen klasse Wochenmarkt am Do und Sa?- sehr familienfreundliche und liebe Nachbarn?- in der Straße gibt es mehrere Cafés, Restaurants, Einkaufsmöglichkeiten sowie eine Kita und GrundschuleSUCHE:?Wir suchen sehr dringend ab 4 Zimmer in Mitte, da wir familiären Zuwachs erwarten wäre es wünschenswert nähe (Kollwitzkiez/Winskiez).????Freue mich auf eine passende Tauschanfrage!?Gruß, ?KichiroWichtigDiese Wohnung wird derzeit bei Wohnungsswap als Tauschobjekt angeboten, eignet sich also nur für diejenigen, die im Gegenzug eine eigene passende Wohnung für den Tausch haben.Es ist kostenlos, ihr Konto zu registrieren und diese bestimme Wohnung oder Hunderte andere Wohnungen bei uns zu finden.","Prenzlauer Berg,Berlin(10405)",16.145454545454545,16.145454545454545,Fair
